id;Курс;Группа;Предметы
82;4-й курс;382571;КПСБ,ПТСиПЦУвСБ,НТСиСОБ,ТССОБ,Осн.экол. и энергосбереж,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
83;4-й курс;382572;КПСБ,ПТСиПЦУвСБ,НТСиСОБ,ТССОБ,Осн.экол. и энергосбереж,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
84;4-й курс;383371;ПЭСБ,ИМиНЭСБ,КСвЭСБ,Осн.экол. и энергосбереж,ПЦУСБ (эвс),Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
85;4-й курс;383372;ПЭСБ,ИМиНЭСБ,КСвЭСБ,Осн.экол. и энергосбереж,ПЦУСБ (эвс),Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
86;4-й курс;381071;ПОВС (ВМиП),Осн. ЕRP-систем,ПОЦП (ВМиП),ПиРИС,АКГ,ЦОС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Конс. по экономике,Преддиплом. практика,Раб. комиссия
87;4-й курс;381072;ПОВС (ВМиП),Осн. ЕRP-систем,ПОЦП (ВМиП),ПиРИС,АКГ,ЦОС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Конс. по экономике,Преддиплом. практика,Раб. комиссия
88;4-й курс;381073;ПОВС (ВМиП),Осн. ЕRP-систем,ПОЦП (ВМиП),ПиРИС,АКГ,ЦОС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Конс. по экономике,Преддиплом. практика,Раб. комиссия
89;4-й курс;382371;Маркетинг,ВДиШП,ИОвЭ,Планирование на предпр.,ИИСЭ,МРЦБ,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Конс. по экономике,Преддиплом. практика,Раб. комиссия
90;4-й курс;382372;Маркетинг,ВДиШП,ИОвЭ,Планирование на предпр.,ИИСЭ,МРЦБ,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Конс. по экономике,Преддиплом. практика,Раб. комиссия
91;4-й курс;382971;ЦТ,ЦСРиР,МСИК,ПСЦВ,ОСП,СПРиРО,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Конс. по экономике,Преддиплом. практика,Раб. комиссия
92;4-й курс;382471;ОСАП (су),СТП,ИиДОиСУ,ОЗИиУИС,ТПиЗД,Осн.экол. и энергосбереж,МвПСС,ОиАС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
93;4-й курс;382472;ОСАП (су),СТП,ИиДОиСУ,ОЗИиУИС,ТПиЗД,Осн.экол. и энергосбереж,МвПСС,ОиАС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
94;4-й курс;382474;ОСАП (су),СТП,ИиДОиСУ,ОЗИиУИС,ТПиЗД,Осн.экол. и энергосбереж,МвПСС,ОиАС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
95;4-й курс;382475;ОСАП (су),СТП,ИиДОиСУ,ОЗИиУИС,ТПиЗД,Осн.экол. и энергосбереж,МвПСС,ОиАС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
96;4-й курс;382476;ОСАП (су),СТП,ИиДОиСУ,ОЗИиУИС,ТПиЗД,Осн.экол. и энергосбереж,МвПСС,ОиАС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
97;4-й курс;382477;ОСАП (су),СТП,ИиДОиСУ,ОЗИиУИС,ТПиЗД,Осн.экол. и энергосбереж,МвПСС,ОиАС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
98;4-й курс;380971;ТиПИППиЭ,АиПОС,ПВЧсВР,ОЗИиУИС,КиСАПЭС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
99;4-й курс;380972;ТиПИППиЭ,АиПОС,ПВЧсВР,ОЗИиУИС,КиСАПЭС,Секретарь ГЭК,Выпуск кафедре,Декану, зам.декана (ГЭК),Специалист внешний,Конс. по нормоконтролю,Рецензент ГЭК,ГЭК,Руководство ДП,Ответств. на каф за ПДП ,Ответств. на каф за ДП,Гос экз, консультации,Гос экз, прием, проверка,Конс. по экономике,Преддиплом. практика,Раб. комиссия,Председатель ГАК
